config,core_step_size,off_core_step_size,frame_smoothness_weight,max_bin_step,shift,coverage,penalty,consistency,frame_improvement,delta_shift,delta_coverage,delta_penalty,delta_consistency,delta_frame_improvement,score
c050_o015_s030_m0010,0.5,0.15,0.3,0.01,55.375,63.1375,32.6025,99.9575,0.007472499999999999,16.982499999999995,16.8575,6.401249999999997,55.21625,0.012198249999999999,31.734599999999997
c055_o015_s030_m0010,0.55,0.15,0.3,0.01,55.36375,63.06125,32.585,99.9575,0.007485125,16.971249999999998,16.78125,6.383749999999999,55.21625,0.012210875,31.701700000000002
c050_o015_s030_m00085,0.5,0.15,0.3,0.0085,55.051249999999996,60.665000000000006,31.389999999999997,99.9575,0.0071068749999999995,16.65874999999999,14.385000000000005,5.188749999999995,55.21625,0.011832625,30.604849999999992
c055_o015_s030_m00085,0.55,0.15,0.3,0.0085,55.051249999999996,60.58625,31.38375,99.9575,0.0071131250000000005,16.65874999999999,14.306249999999999,5.182499999999997,55.21625,0.011838875,30.567599999999988
c050_o010_s030_m0010,0.5,0.1,0.3,0.01,54.293749999999996,68.9875,35.7925,99.9575,0.005861875,15.90124999999999,22.707499999999996,9.591249999999995,55.21625,0.010587625,30.322849999999995
c055_o010_s030_m0010,0.55,0.1,0.3,0.01,54.28874999999999,68.90625,35.7475,99.9575,0.0058744999999999995,15.896249999999988,22.62625,9.54625,55.21625,0.010600249999999999,30.315199999999983
c050_o010_s030_m00085,0.5,0.1,0.3,0.0085,53.986250000000005,66.57875,34.62375,99.9575,0.00551275,15.59375,20.29875,8.4225,55.21625,0.010238500000000001,29.2258
c050_o015_s030_m0007,0.5,0.15,0.3,0.007,54.72875,57.67875,30.115,99.9575,0.006708875000000001,16.336249999999993,11.39875,3.9137499999999967,55.21625,0.011434625,29.192199999999996
c055_o010_s030_m00085,0.55,0.1,0.3,0.0085,53.9875,66.4975,34.62625,99.9575,0.005519125000000001,15.594999999999992,20.2175,8.424999999999997,55.21625,0.010244875,29.181399999999993
c055_o015_s030_m0007,0.55,0.15,0.3,0.007,54.731249999999996,57.605000000000004,30.096249999999998,99.9575,0.006713750000000001,16.33874999999999,11.325000000000003,3.894999999999996,55.21625,0.011439500000000002,29.169349999999998
c050_o010_s030_m0007,0.5,0.1,0.3,0.007,53.6825,63.59125,32.95875,99.9575,0.005144625,15.289999999999992,17.31125,6.7575,55.21625,0.009870375,28.167049999999996
c055_o010_s030_m0007,0.55,0.1,0.3,0.007,53.6825,63.5125,32.94,99.9575,0.0051495,15.289999999999992,17.2325,6.738749999999996,55.21625,0.00987525,28.138699999999993
