queue_label,record_id,rule_id,reviewed_artifact_issue,reviewed_effect_audible,duration_drift_ms,logmel_dtw_l1,mfcc_dtw_cosine,voiced_overlap_iou,f0_overlap_mae_cents,f0_overlap_corr,harmonic_share_src,harmonic_share_proc,harmonic_share_delta,mean_log_flatness_src,mean_log_flatness_proc,mean_log_flatness_delta,zcr_src,zcr_proc,zcr_delta,structure_risk_score
v1_fixed8_s020_d15_g20_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5563,0.0018,0.9558,12.5272,0.9926,0.7110,0.6700,-0.0410,-3.2808,-3.2706,0.0103,0.0574,0.0579,0.0005,16.80
v1_fixed8_s020_d15_g20_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5756,0.0015,0.9689,9.7921,0.9980,0.6285,0.5538,-0.0747,-3.3139,-3.3347,-0.0207,0.0828,0.0852,0.0024,16.52
v1_fixed8_s020_d15_g20_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5431,0.0016,0.9263,8.7216,0.9988,0.1434,0.1369,-0.0065,-2.9965,-3.0046,-0.0081,0.0697,0.0711,0.0014,16.54
v1_fixed8_s020_d15_g20_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.6174,0.0014,0.9373,15.3543,0.9931,0.2088,0.2032,-0.0055,-2.8411,-2.8398,0.0013,0.0763,0.0741,-0.0023,18.59
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,8.9167,0.6070,0.0013,0.8087,20.8114,0.9979,0.4001,0.3966,-0.0035,-3.1641,-2.9968,0.1674,0.0780,0.0771,-0.0009,28.68
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,1.7083,0.7145,0.0012,0.8380,15.0770,0.9994,0.4770,0.4500,-0.0271,-3.2988,-3.1962,0.1026,0.0415,0.0415,-0.0001,27.50
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,1.5417,0.6444,0.0016,0.8655,7.1713,0.9976,0.4904,0.4680,-0.0224,-3.0667,-2.9273,0.1394,0.0850,0.0860,0.0010,26.00
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,2.7917,0.5788,0.0012,0.9356,18.5474,0.9963,0.5203,0.4764,-0.0439,-2.8490,-2.7671,0.0819,0.0730,0.0696,-0.0033,21.16
v1_fixed8_s030_d20_g30_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.6115,0.0024,0.9505,11.8904,0.9943,0.7110,0.6661,-0.0449,-3.2808,-3.2466,0.0343,0.0574,0.0589,0.0015,19.41
v1_fixed8_s030_d20_g30_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.6292,0.0021,0.9670,9.6584,0.9984,0.6285,0.5482,-0.0803,-3.3139,-3.3078,0.0062,0.0828,0.0857,0.0030,18.26
