queue_label,record_id,rule_id,reviewed_artifact_issue,reviewed_effect_audible,duration_drift_ms,logmel_dtw_l1,mfcc_dtw_cosine,voiced_overlap_iou,f0_overlap_mae_cents,f0_overlap_corr,harmonic_share_src,harmonic_share_proc,harmonic_share_delta,mean_log_flatness_src,mean_log_flatness_proc,mean_log_flatness_delta,zcr_src,zcr_proc,zcr_delta,structure_risk_score
v2_fixed8_coremask_s020_d15_g20_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5469,0.0016,0.9558,11.5217,0.9946,0.7110,0.6772,-0.0338,-3.2808,-3.3130,-0.0322,0.0574,0.0577,0.0003,16.02
v2_fixed8_coremask_s020_d15_g20_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5729,0.0013,0.9706,9.6219,0.9980,0.6285,0.5599,-0.0685,-3.3139,-3.3838,-0.0699,0.0828,0.0852,0.0024,16.36
v2_fixed8_coremask_s020_d15_g20_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5421,0.0014,0.9288,8.9773,0.9985,0.1434,0.1361,-0.0073,-2.9965,-3.0472,-0.0508,0.0697,0.0709,0.0012,16.44
v2_fixed8_coremask_s020_d15_g20_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.6162,0.0012,0.9373,15.2362,0.9931,0.2088,0.2024,-0.0063,-2.8411,-2.8662,-0.0251,0.0763,0.0738,-0.0025,18.48
v2_fixed8_coremask_s020_d15_g20_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,8.9167,0.6084,0.0013,0.8266,20.4096,0.9980,0.4001,0.3973,-0.0028,-3.1641,-3.0165,0.1476,0.0780,0.0769,-0.0011,27.43
v2_fixed8_coremask_s020_d15_g20_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,1.7083,0.7180,0.0011,0.8380,15.2837,0.9994,0.4770,0.4511,-0.0260,-3.2988,-3.2099,0.0889,0.0415,0.0414,-0.0002,27.06
v2_fixed8_coremask_s020_d15_g20_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,1.5417,0.6476,0.0015,0.8655,6.9721,0.9978,0.4904,0.4639,-0.0265,-3.0667,-2.9464,0.1204,0.0850,0.0858,0.0008,25.25
v2_fixed8_coremask_s020_d15_g20_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,2.7917,0.5861,0.0011,0.9356,18.6532,0.9963,0.5203,0.4764,-0.0439,-2.8490,-2.7908,0.0582,0.0730,0.0696,-0.0034,20.39
v2_fixed8_coremask_s030_d20_g30_off015_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5784,0.0018,0.9456,11.7534,0.9942,0.7110,0.6789,-0.0321,-3.2808,-3.3072,-0.0264,0.0574,0.0587,0.0014,17.24
v2_fixed8_coremask_s030_d20_g30_off015_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5991,0.0015,0.9670,9.8102,0.9982,0.6285,0.5655,-0.0629,-3.3139,-3.3765,-0.0625,0.0828,0.0857,0.0030,17.22
v2_fixed8_coremask_s030_d20_g30_off015_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5704,0.0016,0.9288,9.8864,0.9979,0.1434,0.1360,-0.0075,-2.9965,-3.0443,-0.0479,0.0697,0.0717,0.0020,17.35
v2_fixed8_coremask_s030_d20_g30_off015_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.6453,0.0014,0.9336,17.3123,0.9912,0.2088,0.2018,-0.0070,-2.8411,-2.8599,-0.0188,0.0763,0.0752,-0.0011,19.51
v2_fixed8_coremask_s030_d20_g30_off015_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,8.9167,0.6397,0.0014,0.8296,21.8597,0.9975,0.4001,0.3935,-0.0066,-3.1641,-3.0119,0.1523,0.0780,0.0776,-0.0004,28.47
v2_fixed8_coremask_s030_d20_g30_off015_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,1.7083,0.7513,0.0013,0.8235,16.7518,0.9992,0.4770,0.4371,-0.0400,-3.2988,-3.1867,0.1121,0.0415,0.0429,0.0014,29.50
v2_fixed8_coremask_s030_d20_g30_off015_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,1.5417,0.6764,0.0017,0.8685,7.8486,0.9974,0.4904,0.4604,-0.0300,-3.0667,-2.9427,0.1240,0.0850,0.0868,0.0018,26.27
v2_fixed8_coremask_s030_d20_g30_off015_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,2.7917,0.6139,0.0013,0.9310,19.0085,0.9961,0.5203,0.4688,-0.0516,-2.8490,-2.7848,0.0642,0.0730,0.0707,-0.0023,21.50
v1_fixed8_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.4863,0.0013,0.9766,9.2000,0.9974,0.7110,0.6732,-0.0378,-3.2808,-3.3094,-0.0286,0.0574,0.0568,-0.0006,13.71
v1_fixed8_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5125,0.0011,0.9723,6.1290,0.9995,0.6285,0.5652,-0.0633,-3.3139,-3.3693,-0.0554,0.0828,0.0833,0.0005,14.23
v1_fixed8_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.4804,0.0012,0.9595,7.8592,0.9990,0.1434,0.1439,0.0004,-2.9965,-3.0361,-0.0396,0.0697,0.0682,-0.0015,13.86
v1_fixed8_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5505,0.0009,0.9625,11.4786,0.9978,0.2088,0.2056,-0.0031,-2.8411,-2.8724,-0.0313,0.0763,0.0719,-0.0045,15.83
v1_fixed8_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,8.9167,0.5363,0.0011,0.7840,18.6679,0.9985,0.4001,0.4112,0.0110,-3.1641,-3.0247,0.1394,0.0780,0.0760,-0.0021,26.19
v1_fixed8_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,1.7083,0.6371,0.0009,0.8054,14.5072,0.9995,0.4770,0.4825,0.0055,-3.2988,-3.2542,0.0446,0.0415,0.0376,-0.0040,23.98
v1_fixed8_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,1.5417,0.5751,0.0013,0.9014,6.8359,0.9981,0.4904,0.4870,-0.0034,-3.0667,-2.9559,0.1109,0.0850,0.0826,-0.0024,22.03
v1_fixed8_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,2.7917,0.5104,0.0010,0.9572,17.2947,0.9967,0.5203,0.5022,-0.0181,-2.8490,-2.8051,0.0439,0.0730,0.0680,-0.0050,17.25
v1_fixed8_s020_d15_g20_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5563,0.0018,0.9558,12.5272,0.9926,0.7110,0.6700,-0.0410,-3.2808,-3.2706,0.0103,0.0574,0.0579,0.0005,16.80
v1_fixed8_s020_d15_g20_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5756,0.0015,0.9689,9.7921,0.9980,0.6285,0.5538,-0.0747,-3.3139,-3.3347,-0.0207,0.0828,0.0852,0.0024,16.52
v1_fixed8_s020_d15_g20_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5431,0.0016,0.9263,8.7216,0.9988,0.1434,0.1369,-0.0065,-2.9965,-3.0046,-0.0081,0.0697,0.0711,0.0014,16.54
v1_fixed8_s020_d15_g20_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.6174,0.0014,0.9373,15.3543,0.9931,0.2088,0.2032,-0.0055,-2.8411,-2.8398,0.0013,0.0763,0.0741,-0.0023,18.59
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,8.9167,0.6070,0.0013,0.8087,20.8114,0.9979,0.4001,0.3966,-0.0035,-3.1641,-2.9968,0.1674,0.0780,0.0771,-0.0009,28.68
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,1.7083,0.7145,0.0012,0.8380,15.0770,0.9994,0.4770,0.4500,-0.0271,-3.2988,-3.1962,0.1026,0.0415,0.0415,-0.0001,27.50
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,1.5417,0.6444,0.0016,0.8655,7.1713,0.9976,0.4904,0.4680,-0.0224,-3.0667,-2.9273,0.1394,0.0850,0.0860,0.0010,26.00
v1_fixed8_s020_d15_g20_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,2.7917,0.5788,0.0012,0.9356,18.5474,0.9963,0.5203,0.4764,-0.0439,-2.8490,-2.7671,0.0819,0.0730,0.0696,-0.0033,21.16
v1_fixed8_s030_d20_g30_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.6115,0.0024,0.9505,11.8904,0.9943,0.7110,0.6661,-0.0449,-3.2808,-3.2466,0.0343,0.0574,0.0589,0.0015,19.41
v1_fixed8_s030_d20_g30_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.6292,0.0021,0.9670,9.6584,0.9984,0.6285,0.5482,-0.0803,-3.3139,-3.3078,0.0062,0.0828,0.0857,0.0030,18.26
v1_fixed8_s030_d20_g30_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5857,0.0021,0.9288,9.9148,0.9979,0.1434,0.1367,-0.0067,-2.9965,-2.9844,0.0121,0.0697,0.0721,0.0024,18.32
v1_fixed8_s030_d20_g30_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.6528,0.0018,0.9336,17.2727,0.9912,0.2088,0.2029,-0.0059,-2.8411,-2.8237,0.0175,0.0763,0.0754,-0.0009,20.43
v1_fixed8_s030_d20_g30_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,8.9167,0.6416,0.0016,0.8290,21.2103,0.9979,0.4001,0.3926,-0.0075,-3.1641,-2.9834,0.1807,0.0780,0.0776,-0.0004,29.63
v1_fixed8_s030_d20_g30_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,1.7083,0.7485,0.0015,0.8235,16.7518,0.9992,0.4770,0.4347,-0.0423,-3.2988,-3.1657,0.1331,0.0415,0.0430,0.0014,30.30
v1_fixed8_s030_d20_g30_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,1.5417,0.6761,0.0020,0.8685,8.2869,0.9971,0.4904,0.4659,-0.0245,-3.0667,-2.9141,0.1526,0.0850,0.0874,0.0024,27.55
v1_fixed8_s030_d20_g30_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,2.7917,0.6110,0.0016,0.9310,19.2424,0.9961,0.5203,0.4683,-0.0521,-2.8490,-2.7488,0.1002,0.0730,0.0709,-0.0020,22.91
