queue_label,record_id,rule_id,reviewed_artifact_issue,reviewed_effect_audible,duration_drift_ms,logmel_dtw_l1,mfcc_dtw_cosine,voiced_overlap_iou,f0_overlap_mae_cents,f0_overlap_corr,harmonic_share_src,harmonic_share_proc,harmonic_share_delta,mean_log_flatness_src,mean_log_flatness_proc,mean_log_flatness_delta,zcr_src,zcr_proc,zcr_delta,structure_risk_score
v1_fixed8_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.4863,0.0013,0.9766,9.2000,0.9974,0.7110,0.6732,-0.0378,-3.2808,-3.3094,-0.0286,0.0574,0.0568,-0.0006,13.71
v1_fixed8_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5125,0.0011,0.9723,6.1290,0.9995,0.6285,0.5652,-0.0633,-3.3139,-3.3693,-0.0554,0.0828,0.0833,0.0005,14.23
v1_fixed8_bw24,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.4804,0.0012,0.9595,7.8592,0.9990,0.1434,0.1439,0.0004,-2.9965,-3.0361,-0.0396,0.0697,0.0682,-0.0015,13.86
v1_fixed8_bw24,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,,no,0.0000,0.5505,0.0009,0.9625,11.4786,0.9978,0.2088,0.2056,-0.0031,-2.8411,-2.8724,-0.0313,0.0763,0.0719,-0.0045,15.83
v1_fixed8_bw24,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,,no,8.9167,0.5363,0.0011,0.7840,18.6679,0.9985,0.4001,0.4112,0.0110,-3.1641,-3.0247,0.1394,0.0780,0.0760,-0.0021,26.19
v1_fixed8_bw24,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,,no,1.7083,0.6371,0.0009,0.8054,14.5072,0.9995,0.4770,0.4825,0.0055,-3.2988,-3.2542,0.0446,0.0415,0.0376,-0.0040,23.98
v1_fixed8_bw24,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,,no,1.5417,0.5751,0.0013,0.9014,6.8359,0.9981,0.4904,0.4870,-0.0034,-3.0667,-2.9559,0.1109,0.0850,0.0826,-0.0024,22.03
v1_fixed8_bw24,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,,no,2.7917,0.5104,0.0010,0.9572,17.2947,0.9967,0.5203,0.5022,-0.0181,-2.8490,-2.8051,0.0439,0.0730,0.0680,-0.0050,17.25
v1_fixed8_env12_s020_d15_g15_bw24,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5322,0.0017,0.9792,11.0106,0.9944,0.7110,0.6627,-0.0483,-3.2808,-3.2527,0.0281,0.0574,0.0581,0.0007,16.22
v1_fixed8_env12_s020_d15_g15_bw24,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,,maybe,0.0000,0.5665,0.0015,0.9741,6.6730,0.9993,0.6285,0.5577,-0.0707,-3.3139,-3.3096,0.0043,0.0828,0.0844,0.0017,15.95
