utt_id,dataset_name,split_name,speaker_id,gender,domain,language,path_raw,path_proc,duration_sec,sample_rate,quality_flag,notes,coarse_style,clean_subset_name,clean_rule_version,selection_cell,selection_note
f1_arpeggios_c_fast_forte_a,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_a.wav,,2.560635,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_c_fast_forte_e,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_e.wav,,2.420317,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_c_fast_forte_i,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_i.wav,,2.490476,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_c_fast_forte_o,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_o.wav,,2.595714,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_c_fast_forte_u,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_u.wav,,2.736009,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_f_fast_forte_a,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_a.wav,,2.306009,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_f_fast_forte_e,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_e.wav,,2.265556,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_f_fast_forte_i,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_i.wav,,2.427370,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_f_fast_forte_o,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_o.wav,,2.265556,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_arpeggios_f_fast_forte_u,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_u.wav,,2.144172,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_c_fast_forte_a,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_c_fast_forte_a.wav,,3.724558,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_c_fast_forte_e,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_c_fast_forte_e.wav,,4.177551,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_c_fast_forte_i,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_c_fast_forte_i.wav,,4.026576,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_c_fast_forte_o,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_c_fast_forte_o.wav,,3.976236,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_c_fast_forte_u,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_c_fast_forte_u.wav,,3.976236,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_f_fast_forte_a,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_f_fast_forte_a.wav,,4.191429,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_f_fast_forte_e,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_f_fast_forte_e.wav,,4.291224,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_f_fast_forte_i,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_f_fast_forte_i.wav,,4.241315,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_f_fast_forte_o,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_f_fast_forte_o.wav,,4.391020,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f1_scales_f_fast_forte_u,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_f_fast_forte_u.wav,,4.291224,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_arepggios_c_fast_forte_a,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/arpeggios/fast_forte/f2_arepggios_c_fast_forte_a.wav,,2.274172,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_arepggios_c_fast_forte_e,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/arpeggios/fast_forte/f2_arepggios_c_fast_forte_e.wav,,2.310249,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_arepggios_c_fast_forte_i,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/arpeggios/fast_forte/f2_arepggios_c_fast_forte_i.wav,,2.346372,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_arepggios_c_fast_forte_o,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/arpeggios/fast_forte/f2_arepggios_c_fast_forte_o.wav,,2.238073,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_arepggios_c_fast_forte_u,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/arpeggios/fast_forte/f2_arepggios_c_fast_forte_u.wav,,2.201973,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_arepggios_f_fast_forte_a,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/arpeggios/fast_forte/f2_arepggios_f_fast_forte_a.wav,,2.025624,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_arepggios_f_fast_forte_i,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/arpeggios/fast_forte/f2_arepggios_f_fast_forte_i.wav,,2.061156,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_c_fast_forte_a,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_c_fast_forte_a.wav,,4.067007,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_c_fast_forte_e,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_c_fast_forte_e.wav,,3.697256,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_c_fast_forte_i,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_c_fast_forte_i.wav,,3.615102,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_c_fast_forte_o,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_c_fast_forte_o.wav,,3.738345,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_c_fast_forte_u,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_c_fast_forte_u.wav,,3.984830,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_f_fast_forte_a,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_f_fast_forte_a.wav,,3.991587,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_f_fast_forte_e,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_f_fast_forte_e.wav,,3.991587,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_f_fast_forte_i,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_f_fast_forte_i.wav,,4.342494,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_f_fast_forte_o,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_f_fast_forte_o.wav,,4.210884,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f2_scales_f_fast_forte_u,VocalSet 1.2,full local extraction,female2,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female2/scales/fast_forte/f2_scales_f_fast_forte_u.wav,,4.298639,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f3_arpeggios_c_fast_forte_a,VocalSet 1.2,full local extraction,female3,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female3/arpeggios/fast_forte/f3_arpeggios_c_fast_forte_a.wav,,2.936054,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f3_arpeggios_c_fast_forte_e,VocalSet 1.2,full local extraction,female3,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female3/arpeggios/fast_forte/f3_arpeggios_c_fast_forte_e.wav,,2.907574,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f3_arpeggios_c_fast_forte_i,VocalSet 1.2,full local extraction,female3,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female3/arpeggios/fast_forte/f3_arpeggios_c_fast_forte_i.wav,,2.793537,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f3_arpeggios_c_fast_forte_o,VocalSet 1.2,full local extraction,female3,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female3/arpeggios/fast_forte/f3_arpeggios_c_fast_forte_o.wav,,2.822041,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f3_arpeggios_c_fast_forte_u,VocalSet 1.2,full local extraction,female3,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female3/arpeggios/fast_forte/f3_arpeggios_c_fast_forte_u.wav,,2.537007,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f3_arpeggios_f_fast_forte_a,VocalSet 1.2,full local extraction,female3,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female3/arpeggios/fast_forte/f3_arpeggios_f_fast_forte_a.wav,,2.897574,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
f3_arpeggios_f_fast_forte_e,VocalSet 1.2,full local extraction,female3,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female3/arpeggios/fast_forte/f3_arpeggios_f_fast_forte_e.wav,,2.738095,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker
