utt_id,dataset_name,gender,path_raw,duration_sec,world_voiced_ratio,world_f0_median_hz,world_mel_status,world_mel_voiced_frames,world_mel_continuity_l1,world_mel_vector_json,lpc_mel_status,lpc_mel_voiced_frames,lpc_mel_continuity_l1,lpc_mel_vector_json,mfcc_status,mfcc_voiced_frames,mfcc_continuity_l1,mfcc_vector_json
121_121726_000004_000003,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000004_000003.wav,7.800000,0.800256,167.249379,ok,625,0.794371,"[-5.782857840517221, -6.429762532711497, -6.93032013441316, -7.383517298383702, -8.57165098975754, -10.171724902320037, -10.945890336415347, -11.061527241301023, -11.089808278627741, -11.277276957192074, -11.284164083572556, -11.255096954159287, -11.573012730565912, -12.246121240334759, -12.505595997269934, -12.336603622134641, -12.672319004184361, -13.407380407585457, -13.429000861113137, -12.979333195621344, -13.766498565303275, -14.98504117415275, -14.980632180774142, -14.652494440502341]",ok,584,0.289348,"[1.7076590061187744, 1.6998448371887207, 1.3963936567306519, 0.9086072444915771, 0.43851643800735474, 0.11536379903554916, -0.1025051474571228, -0.2638552188873291, -0.3955768942832947, -0.5392950177192688, -0.6771103739738464, -0.7908105254173279, -0.9518064856529236, -1.1610842943191528, -1.3316318988800049, -1.4843636751174927, -1.75600004196167, -2.0779504776000977, -2.1882264614105225, -2.1382334232330322, -2.706576108932495, -3.3178622722625732, -3.420961618423462, -3.1414108276367188]",ok,584,4.868856,"[-178.6986083984375, 74.95643615722656, 7.298406600952148, 23.016935348510742, 9.287039756774902, 6.036950588226318, -2.147531032562256, -4.614265441894531, -0.42342323064804077, -3.4584872722625732, 4.517209053039551, -4.286665439605713, 8.1932954788208, 0.5442192554473877, -0.8146959543228149, 2.4479198455810547]"
121_121726_000005_000001,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000005_000001.wav,5.840000,0.740171,176.450544,ok,433,0.858719,"[-6.356919496055902, -7.215492009296834, -7.730814714781631, -8.27729880747094, -9.54194954592793, -10.760573934452585, -11.174755531750577, -11.369389952391499, -11.559423259132728, -11.75286898924807, -11.620777867587218, -11.409453380058093, -11.650254699078788, -12.369371202245159, -12.631138376276564, -12.346551650472524, -12.34845273582153, -13.132565356645733, -13.619835202137414, -13.229175909176618, -13.5101215489078, -14.621805278402665, -14.562761024472662, -14.053663819453492]",ok,406,0.310390,"[1.3220070600509644, 1.2736235857009888, 0.8719831705093384, 0.3626137375831604, -0.040097594261169434, -0.3303443193435669, -0.5367875695228577, -0.6838506460189819, -0.8130816221237183, -0.9263494610786438, -1.0010383129119873, -1.0872963666915894, -1.2649236917495728, -1.458055019378662, -1.5801604986190796, -1.6219947338104248, -1.8050055503845215, -2.1922028064727783, -2.4026637077331543, -2.360748767852783, -2.656029224395752, -3.1433324813842773, -3.2108328342437744, -2.851564407348633]",ok,406,5.004671,"[-185.72982788085938, 64.71783447265625, 9.086577415466309, 21.175861358642578, 10.656068801879883, 4.584573745727539, 1.4798228740692139, -3.174987554550171, 2.120654821395874, -1.7011843919754028, 1.9783406257629395, -4.389782428741455, 9.664916038513184, -1.196694016456604, 1.83400297164917, 3.265021562576294]"
121_121726_000008_000002,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000008_000002.wav,2.440000,0.669388,156.752973,ok,164,0.631634,"[-6.030074023706374, -6.892440633704522, -6.690365198936173, -6.839362088580616, -8.286603431709906, -9.778734461483314, -9.88087319713639, -9.884586974713818, -10.338648331043244, -11.022407575761079, -11.52627790176128, -11.379403307788866, -11.701579918061709, -12.199336054418902, -12.4219242679629, -12.35489789793222, -12.17285280477801, -12.897882043866877, -13.07722774790618, -12.799702459944797, -13.56058193635164, -14.500087719768523, -14.75158721575907, -14.611491807934035]",ok,153,0.273078,"[1.4241126775741577, 1.4509996175765991, 1.348736047744751, 0.9741237163543701, 0.504566490650177, 0.1670634150505066, -0.06847847998142242, -0.23418115079402924, -0.41179540753364563, -0.6437153816223145, -0.8530811071395874, -0.9899703860282898, -1.0909290313720703, -1.215520977973938, -1.3517162799835205, -1.4203821420669556, -1.656245470046997, -1.951837420463562, -2.1019532680511475, -2.1572649478912354, -2.6406965255737305, -3.2858893871307373, -3.5946998596191406, -3.4483821392059326]",ok,153,3.712409,"[-168.55380249023438, 76.36424255371094, 5.0591936111450195, 20.7450008392334, -1.2030915021896362, 5.890973091125488, -0.1734245866537094, -1.8958485126495361, -0.355727881193161, -5.358214855194092, 2.303611993789673, -1.971740484237671, 10.42348575592041, 0.0953417420387268, 3.960501194000244, 3.7656006813049316]"
121_121726_000025_000000,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000025_000000.wav,2.920000,0.924915,195.554807,ok,271,0.904815,"[-6.374799606667367, -7.2860485225764515, -7.65452899750239, -7.963876441035111, -8.791808500556218, -9.58273081211456, -9.956770087755869, -10.205211612751606, -10.620813665266635, -11.181517146579962, -11.232269254860558, -11.259168321036412, -11.576391239145773, -12.051350851848964, -12.053078890259185, -11.938994721101924, -11.777053439164067, -12.132447066625911, -12.613679762148355, -12.649534198284105, -12.779910093745471, -13.220965507967705, -14.343140501396558, -14.15979376847056]",ok,252,0.283576,"[0.8698769211769104, 0.8558715581893921, 0.6575249433517456, 0.25227466225624084, -0.11424039304256439, -0.3550933301448822, -0.4885070323944092, -0.6501526832580566, -0.833838701248169, -1.041669249534607, -1.240115761756897, -1.376658320426941, -1.4882084131240845, -1.5772384405136108, -1.6064494848251343, -1.6920924186706543, -1.8339595794677734, -1.9353123903274536, -2.171455144882202, -2.3164966106414795, -2.3696353435516357, -2.7182185649871826, -3.154994487762451, -3.180192708969116]",ok,252,4.759226,"[-164.70811462402344, 55.20587921142578, 6.406915187835693, 15.971531867980957, -1.216658592224121, 4.871500015258789, -0.924431562423706, -0.2974097728729248, -1.2862080335617065, -0.5787094235420227, -1.3857148885726929, -2.09346079826355, 4.697423458099365, -2.0682077407836914, 1.0653676986694336, -3.8441309928894043]"
121_121726_000025_000001,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000025_000001.wav,6.080000,0.870279,170.602109,ok,530,0.708414,"[-5.4167910339493055, -6.42769943359511, -7.032798538312805, -7.361970439196833, -8.465739459441863, -9.596668680743177, -9.880064912995476, -10.05978624545605, -10.466331367077315, -10.856834689892402, -11.140463363451968, -11.331082292253788, -11.508746639336934, -12.19637109399025, -12.658458814233386, -12.345918109158074, -12.030478720299495, -12.844044562080397, -13.001831220983574, -12.906696725144508, -13.85082212441063, -15.281817876377513, -15.325809950531355, -14.446737185308777]",ok,496,0.240573,"[2.0365684032440186, 1.9263062477111816, 1.5213109254837036, 1.0547174215316772, 0.6699597835540771, 0.3965606987476349, 0.21602581441402435, 0.09263722598552704, -0.04618952423334122, -0.24716010689735413, -0.4907211363315582, -0.7068513631820679, -0.8901007175445557, -1.0785351991653442, -1.2491315603256226, -1.3383715152740479, -1.4847582578659058, -1.7583363056182861, -1.9007530212402344, -1.9462753534317017, -2.667149543762207, -3.4094226360321045, -3.511075973510742, -2.9429309368133545]",ok,496,4.360806,"[-173.25924682617188, 82.77944946289062, 4.990405082702637, 21.877710342407227, 2.066528797149658, 8.868000030517578, 4.24083948135376, -3.780133008956909, 6.4489030838012695, -4.771895885467529, 6.469632148742676, -4.655813217163086, 11.07691478729248, -1.8108148574829102, 3.462545871734619, 4.402751445770264]"
121_121726_000029_000003,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000029_000003.wav,3.200000,0.775701,181.183085,ok,249,0.739206,"[-4.5958059032476895, -5.406870557512338, -6.015827475688197, -6.600263084287048, -8.033275757679107, -9.663326888789129, -10.137384424619063, -10.283081899172531, -10.526513867867651, -10.900980053276056, -11.069745438476524, -10.988530733166547, -10.961796950936831, -11.367321669118379, -11.691795640524202, -11.435405538252873, -11.755837918547696, -12.93771157965095, -13.419409566568195, -13.066426620401057, -13.381960378577457, -14.734937989028447, -15.055237047603834, -14.363147315411505]",ok,234,0.248032,"[1.9715737104415894, 1.9484970569610596, 1.4943705797195435, 0.893132746219635, 0.42621198296546936, 0.09637770056724548, -0.13119462132453918, -0.29209643602371216, -0.4229232370853424, -0.5624960660934448, -0.6730524897575378, -0.7669253945350647, -0.9344647526741028, -1.1086115837097168, -1.2035573720932007, -1.2780377864837646, -1.637354850769043, -2.1102700233459473, -2.337446928024292, -2.293344020843506, -2.6707160472869873, -3.4354019165039062, -3.638761281967163, -3.2367615699768066]",ok,234,4.488222,"[-167.03640747070312, 77.2015151977539, 4.6516499519348145, 28.157119750976562, 8.445448875427246, 3.51208233833313, 2.2753829956054688, -1.2194881439208984, -0.5533895492553711, -4.114696979522705, 4.034520626068115, -5.791749477386475, 10.853568077087402, -3.2169320583343506, 3.08154296875, 2.358731746673584]"
121_121726_000031_000001,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000031_000001.wav,2.160000,0.847926,176.115823,ok,184,0.747945,"[-6.089315332196428, -7.119251371467151, -7.636533805769236, -7.79417192015865, -9.00737745738658, -10.177079834982495, -10.320067211621943, -10.485639775720346, -10.543573128501937, -10.660560632364998, -10.858109592411124, -10.76214709035825, -11.198723120043223, -12.117439800518325, -12.282678890855015, -11.789148828099048, -11.636809333943825, -12.387735350593719, -11.998476083933097, -11.755486897466431, -12.861288623984997, -14.140173520307485, -14.635810081585172, -14.092685523075234]",ok,171,0.301896,"[1.4304378032684326, 1.2082043886184692, 0.8791366219520569, 0.4317067861557007, 0.06304014474153519, -0.19566115736961365, -0.3643622100353241, -0.4573706090450287, -0.5142247080802917, -0.6198438405990601, -0.755583643913269, -0.9077552556991577, -1.1171376705169678, -1.3188918828964233, -1.4560394287109375, -1.5033127069473267, -1.6253234148025513, -1.7642295360565186, -1.7065495252609253, -1.6932659149169922, -2.431933879852295, -3.1972217559814453, -3.5219109058380127, -3.2810287475585938]",ok,171,4.321577,"[-165.07461547851562, 62.796321868896484, 3.539365530014038, 21.30120277404785, 1.9356025457382202, 12.96749210357666, 0.19597455859184265, -2.6766958236694336, 3.828418493270874, -2.9609789848327637, 5.347553253173828, -3.997802734375, 9.881376266479492, 1.589208960533142, 1.9277039766311646, 5.681946277618408]"
121_121726_000034_000001,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\121726\121_121726_000034_000001.wav,6.640000,0.778947,153.510842,ok,518,0.825795,"[-5.859829090797532, -6.96218288139812, -7.192617937628544, -7.563146605947581, -8.723883670013052, -9.901842685449678, -10.053734685090907, -10.22278471495341, -10.47923395558897, -10.714268582303703, -11.002132006055124, -11.059212734821008, -11.266020720145635, -11.923134382370765, -12.299327283546678, -12.142339163228751, -12.05258327083427, -12.675529814112924, -12.706605262149662, -12.661564404605368, -13.445895294520493, -14.396855991008628, -15.008659004920379, -14.33603609052622]",ok,486,0.285955,"[1.558396816253662, 1.5216368436813354, 1.1600401401519775, 0.6557987928390503, 0.2674960196018219, 0.015313845127820969, -0.12702512741088867, -0.21328143775463104, -0.3439154028892517, -0.5224080085754395, -0.6882132887840271, -0.8291842341423035, -0.9916683435440063, -1.173248529434204, -1.2999035120010376, -1.4090930223464966, -1.5737916231155396, -1.8156110048294067, -1.9726650714874268, -2.1188406944274902, -2.651932716369629, -3.260254144668579, -3.489272117614746, -3.1266815662384033]",ok,486,4.837770,"[-168.22482299804688, 75.07889556884766, 2.5394623279571533, 20.48596954345703, 2.3964524269104004, 7.871345520019531, 0.8711622357368469, -3.0024733543395996, 3.3351004123687744, -4.769920349121094, 4.317010879516602, -4.009518146514893, 9.063323974609375, -1.3510380983352661, 3.598093032836914, 2.5199928283691406]"
121_127105_000000_000000,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000000_000000.wav,2.600000,0.885057,162.289492,ok,231,0.699964,"[-5.775809318077998, -6.417305375514147, -6.691177036560382, -7.228784682347288, -8.726824903922823, -10.171891375629638, -10.647107831262316, -10.406375183821691, -10.363250076375202, -10.672285658393138, -11.148583728374112, -11.681291105352688, -11.978990809316864, -12.60361815661287, -13.19362050910142, -13.17102329053227, -13.435041712208987, -14.296577212537153, -14.41770125810324, -13.25379864466184, -13.469973368123883, -14.341839261276995, -14.875932770501432, -14.529254131153362]",ok,212,0.255773,"[1.7440420389175415, 1.7890654802322388, 1.4656039476394653, 0.9390341639518738, 0.5112842917442322, 0.2099321484565735, -0.00017556828970555216, -0.12818098068237305, -0.2454800307750702, -0.4445398449897766, -0.6769685745239258, -0.9071049094200134, -1.1851818561553955, -1.4913394451141357, -1.779215931892395, -2.0969269275665283, -2.423128843307495, -2.6473400592803955, -2.6500682830810547, -2.3233659267425537, -2.4347481727600098, -2.9952211380004883, -3.2219667434692383, -2.9836368560791016]",ok,212,4.417704,"[-177.26934814453125, 82.78533935546875, 15.675792694091797, 9.806927680969238, 12.264266967773438, 9.945488929748535, -1.588576316833496, -0.7250708341598511, -5.771488189697266, -3.005187749862671, 3.037743091583252, -3.026801586151123, 9.246258735656738, -1.9123811721801758, 2.4016311168670654, 3.205698013305664]"
121_127105_000007_000002,LibriTTS-R,female,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000007_000002.wav,14.360167,0.802366,161.475460,ok,1153,0.932549,"[-5.163893888194289, -6.2655121844209285, -7.047356897267361, -7.594944193563032, -8.935237887914809, -9.890034808531054, -9.905524516344816, -10.164147637365158, -10.704712429613727, -11.1576354056304, -11.366642136479578, -11.41585627678227, -11.720032993735598, -12.458562387329343, -12.867732606192146, -12.811645329813649, -12.768666477683379, -13.433889689667176, -13.614569188261086, -13.362566662131842, -13.510555671044118, -14.40843372070542, -14.941503498550905, -14.237007173214923]",ok,1080,0.282975,"[1.8644506931304932, 1.6141034364700317, 1.0409846305847168, 0.5595226883888245, 0.22869184613227844, 0.004928036127239466, -0.15789298713207245, -0.31840071082115173, -0.5092111229896545, -0.7156625390052795, -0.9204574227333069, -1.1137109994888306, -1.3180383443832397, -1.5287355184555054, -1.7070900201797485, -1.8719879388809204, -2.0850491523742676, -2.3017187118530273, -2.4140756130218506, -2.3344480991363525, -2.512172222137451, -3.106825351715088, -3.326815366744995, -2.8873705863952637]",ok,1080,4.897856,"[-167.26907348632812, 78.115966796875, 12.447465896606445, 16.314594268798828, 7.377262115478516, 8.137289047241211, 2.817615509033203, 0.49960586428642273, 3.231416940689087, -2.9990956783294678, 2.7711596488952637, -5.15175199508667, 9.8905668258667, -2.1811721324920654, 5.274491310119629, 1.1409560441970825]"
