subset_name,group_axis,group_value,gender,f0_bin,num_rows,f0_bin_upper_q1_hz,f0_bin_upper_q2_hz,f0_bin_upper_q3_hz,mean_f0_median_hz,mean_spectral_centroid_hz,mean_log_centroid_minus_log_f0
clean_speech,dataset_name,LibriTTS-R,female,q1_low,1,117.193827,162.047228,198.680839,116.926121,1619.406121,1.141444
clean_speech,dataset_name,LibriTTS-R,female,q2_midlow,280,117.193827,162.047228,198.680839,150.304786,2014.754500,1.123295
clean_speech,dataset_name,LibriTTS-R,female,q3_midhigh,1788,117.193827,162.047228,198.680839,183.874008,2017.739299,1.034698
clean_speech,dataset_name,LibriTTS-R,female,q4_high,1706,117.193827,162.047228,198.680839,218.624685,2070.505840,0.972022
clean_speech,dataset_name,LibriTTS-R,male,q1_low,1436,117.193827,162.047228,198.680839,107.171282,1716.238348,1.200260
clean_speech,dataset_name,LibriTTS-R,male,q2_midlow,1997,117.193827,162.047228,198.680839,131.241240,1832.036151,1.141352
clean_speech,dataset_name,LibriTTS-R,male,q3_midhigh,199,117.193827,162.047228,198.680839,182.156237,1902.778419,1.014413
clean_speech,dataset_name,LibriTTS-R,male,q4_high,143,117.193827,162.047228,198.680839,217.370665,1988.573218,0.958222
clean_speech,dataset_name,VCTK Corpus 0.92,female,q1_low,3,117.193827,162.047228,198.680839,101.639259,4258.990957,1.622428
clean_speech,dataset_name,VCTK Corpus 0.92,female,q2_midlow,98,117.193827,162.047228,198.680839,156.092261,4798.262841,1.485500
clean_speech,dataset_name,VCTK Corpus 0.92,female,q3_midhigh,1748,117.193827,162.047228,198.680839,184.895691,4783.752433,1.409498
clean_speech,dataset_name,VCTK Corpus 0.92,female,q4_high,1926,117.193827,162.047228,198.680839,222.640583,4955.750076,1.345254
clean_speech,dataset_name,VCTK Corpus 0.92,male,q1_low,2336,117.193827,162.047228,198.680839,100.386222,4641.510430,1.662301
clean_speech,dataset_name,VCTK Corpus 0.92,male,q2_midlow,1400,117.193827,162.047228,198.680839,129.448960,4703.419618,1.557884
clean_speech,dataset_name,VCTK Corpus 0.92,male,q3_midhigh,39,117.193827,162.047228,198.680839,168.854015,4436.334159,1.416464
clean_singing,coarse_style,fast_forte,female,q1_low,1,180.089018,319.219119,373.809522,86.133107,5286.020552,1.787959
clean_singing,coarse_style,fast_forte,female,q2_midlow,38,180.089018,319.219119,373.809522,280.873785,4482.302502,1.186450
clean_singing,coarse_style,fast_forte,female,q3_midhigh,63,180.089018,319.219119,373.809522,345.856843,4151.111393,1.059243
clean_singing,coarse_style,fast_forte,female,q4_high,64,180.089018,319.219119,373.809522,432.201980,3915.181098,0.941938
clean_singing,coarse_style,fast_forte,male,q1_low,97,180.089018,319.219119,373.809522,154.398529,3146.215642,1.301411
clean_singing,coarse_style,fast_forte,male,q2_midlow,59,180.089018,319.219119,373.809522,211.811776,3011.783259,1.145653
clean_singing,coarse_style,fast_forte,male,q3_midhigh,9,180.089018,319.219119,373.809522,346.578263,2544.846576,0.860451
clean_singing,coarse_style,fast_forte,male,q4_high,1,180.089018,319.219119,373.809522,414.182462,2882.718134,0.842610
clean_singing,coarse_style,fast_piano,female,q2_midlow,27,180.089018,319.219119,373.809522,288.079631,4763.487648,1.201693
clean_singing,coarse_style,fast_piano,female,q3_midhigh,64,180.089018,319.219119,373.809522,343.161740,3913.114029,1.039715
clean_singing,coarse_style,fast_piano,female,q4_high,69,180.089018,319.219119,373.809522,433.558787,3743.472971,0.921095
