utt_id,domain,group_value,target_direction,f0_median_hz,matched_rule_id,action_family,strength_label,alpha_default,alpha_max,confidence
f1_arpeggios_c_fast_forte_a,singing,fast_forte,feminine,274.452582,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_c_fast_forte_e,singing,fast_forte,feminine,278.044864,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_c_fast_forte_i,singing,fast_forte,feminine,278.220330,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_c_fast_forte_o,singing,fast_forte,feminine,277.774030,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_c_fast_forte_u,singing,fast_forte,feminine,274.003942,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_f_fast_forte_a,singing,fast_forte,feminine,380.238250,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_f_fast_forte_e,singing,fast_forte,feminine,377.625825,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_f_fast_forte_i,singing,fast_forte,feminine,365.235272,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_f_fast_forte_o,singing,fast_forte,feminine,369.846151,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_arpeggios_f_fast_forte_u,singing,fast_forte,feminine,382.799757,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_c_fast_forte_a,singing,fast_forte,feminine,340.051246,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_c_fast_forte_e,singing,fast_forte,feminine,338.262464,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_c_fast_forte_i,singing,fast_forte,feminine,334.663851,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_c_fast_forte_o,singing,fast_forte,feminine,343.154964,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_c_fast_forte_u,singing,fast_forte,feminine,347.737765,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_f_fast_forte_a,singing,fast_forte,feminine,436.241377,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_f_fast_forte_e,singing,fast_forte,feminine,433.552301,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_f_fast_forte_i,singing,fast_forte,feminine,426.541100,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_f_fast_forte_o,singing,fast_forte,feminine,416.552195,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f1_scales_f_fast_forte_u,singing,fast_forte,feminine,450.078065,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_arepggios_c_fast_forte_a,singing,fast_forte,feminine,263.039729,,,,,,
f2_arepggios_c_fast_forte_e,singing,fast_forte,feminine,274.273728,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_arepggios_c_fast_forte_i,singing,fast_forte,feminine,86.133107,,,,,,
f2_arepggios_c_fast_forte_o,singing,fast_forte,feminine,271.868874,,,,,,
f2_arepggios_c_fast_forte_u,singing,fast_forte,feminine,274.942730,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_arepggios_f_fast_forte_a,singing,fast_forte,feminine,412.551172,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_arepggios_f_fast_forte_i,singing,fast_forte,feminine,381.382201,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_c_fast_forte_a,singing,fast_forte,feminine,338.941838,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_c_fast_forte_e,singing,fast_forte,feminine,324.050448,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_c_fast_forte_i,singing,fast_forte,feminine,349.775796,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_c_fast_forte_o,singing,fast_forte,feminine,349.855046,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_c_fast_forte_u,singing,fast_forte,feminine,337.375638,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_f_fast_forte_a,singing,fast_forte,feminine,446.325820,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_f_fast_forte_e,singing,fast_forte,feminine,465.680595,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_f_fast_forte_i,singing,fast_forte,feminine,425.814235,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_f_fast_forte_o,singing,fast_forte,feminine,455.833475,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f2_scales_f_fast_forte_u,singing,fast_forte,feminine,442.332365,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_c_fast_forte_a,singing,fast_forte,feminine,276.666176,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_c_fast_forte_e,singing,fast_forte,feminine,271.954486,,,,,,
f3_arpeggios_c_fast_forte_i,singing,fast_forte,feminine,281.396473,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_c_fast_forte_o,singing,fast_forte,feminine,278.770062,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_c_fast_forte_u,singing,fast_forte,feminine,284.892840,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_f_fast_forte_a,singing,fast_forte,feminine,374.540550,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_f_fast_forte_e,singing,fast_forte,feminine,367.979507,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_f_fast_forte_i,singing,fast_forte,feminine,393.942483,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_f_fast_forte_o,singing,fast_forte,feminine,385.807918,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_arpeggios_f_fast_forte_u,singing,fast_forte,feminine,380.836625,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_c_fast_forte_a,singing,fast_forte,feminine,365.634695,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_c_fast_forte_e,singing,fast_forte,feminine,360.872684,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_c_fast_forte_i,singing,fast_forte,feminine,360.881246,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_c_fast_forte_o,singing,fast_forte,feminine,373.368573,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_c_fast_forte_u,singing,fast_forte,feminine,363.363776,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_f_fast_forte_a,singing,fast_forte,feminine,467.246643,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_f_fast_forte_e,singing,fast_forte,feminine,467.977125,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_f_fast_forte_i,singing,fast_forte,feminine,465.567477,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_f_fast_forte_o,singing,fast_forte,feminine,461.290508,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f3_scales_f_fast_forte_u,singing,fast_forte,feminine,466.077908,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
f4_arpeggios_c_fast_forte_a,singing,fast_forte,feminine,259.147306,,,,,,
f4_arpeggios_c_fast_forte_e,singing,fast_forte,feminine,266.122779,,,,,,
f4_arpeggios_c_fast_forte_i,singing,fast_forte,feminine,262.307923,,,,,,
f4_arpeggios_c_fast_forte_o,singing,fast_forte,feminine,271.267581,,,,,,
f4_arpeggios_c_fast_forte_u,singing,fast_forte,feminine,268.710436,,,,,,
f4_arpeggios_f_fast_forte_a,singing,fast_forte,feminine,349.443059,stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,brightness_up,medium_high,0.240,0.340,high
