utt_id,domain,group_value,target_direction,f0_median_hz,matched_rule_id,action_family,strength_label,alpha_default,alpha_max,confidence
f1_arpeggios_c_fast_forte_a,singing,fast_forte,masculine,274.452582,,,,,,
f1_arpeggios_c_fast_forte_e,singing,fast_forte,masculine,278.044864,,,,,,
f1_arpeggios_c_fast_forte_i,singing,fast_forte,masculine,278.220330,,,,,,
f1_arpeggios_c_fast_forte_o,singing,fast_forte,masculine,277.774030,,,,,,
f1_arpeggios_c_fast_forte_u,singing,fast_forte,masculine,274.003942,,,,,,
f1_arpeggios_f_fast_forte_a,singing,fast_forte,masculine,380.238250,,,,,,
f1_arpeggios_f_fast_forte_e,singing,fast_forte,masculine,377.625825,,,,,,
f1_arpeggios_f_fast_forte_i,singing,fast_forte,masculine,365.235272,,,,,,
f1_arpeggios_f_fast_forte_o,singing,fast_forte,masculine,369.846151,,,,,,
f1_arpeggios_f_fast_forte_u,singing,fast_forte,masculine,382.799757,,,,,,
f1_scales_c_fast_forte_a,singing,fast_forte,masculine,340.051246,,,,,,
f1_scales_c_fast_forte_e,singing,fast_forte,masculine,338.262464,,,,,,
f1_scales_c_fast_forte_i,singing,fast_forte,masculine,334.663851,,,,,,
f1_scales_c_fast_forte_o,singing,fast_forte,masculine,343.154964,,,,,,
f1_scales_c_fast_forte_u,singing,fast_forte,masculine,347.737765,,,,,,
f1_scales_f_fast_forte_a,singing,fast_forte,masculine,436.241377,,,,,,
f1_scales_f_fast_forte_e,singing,fast_forte,masculine,433.552301,,,,,,
f1_scales_f_fast_forte_i,singing,fast_forte,masculine,426.541100,,,,,,
f1_scales_f_fast_forte_o,singing,fast_forte,masculine,416.552195,,,,,,
f1_scales_f_fast_forte_u,singing,fast_forte,masculine,450.078065,,,,,,
f2_arepggios_c_fast_forte_a,singing,fast_forte,masculine,263.039729,,,,,,
f2_arepggios_c_fast_forte_e,singing,fast_forte,masculine,274.273728,,,,,,
f2_arepggios_c_fast_forte_i,singing,fast_forte,masculine,86.133107,,,,,,
f2_arepggios_c_fast_forte_o,singing,fast_forte,masculine,271.868874,,,,,,
f2_arepggios_c_fast_forte_u,singing,fast_forte,masculine,274.942730,,,,,,
f2_arepggios_f_fast_forte_a,singing,fast_forte,masculine,412.551172,,,,,,
f2_arepggios_f_fast_forte_i,singing,fast_forte,masculine,381.382201,,,,,,
f2_scales_c_fast_forte_a,singing,fast_forte,masculine,338.941838,,,,,,
f2_scales_c_fast_forte_e,singing,fast_forte,masculine,324.050448,,,,,,
f2_scales_c_fast_forte_i,singing,fast_forte,masculine,349.775796,,,,,,
f2_scales_c_fast_forte_o,singing,fast_forte,masculine,349.855046,,,,,,
f2_scales_c_fast_forte_u,singing,fast_forte,masculine,337.375638,,,,,,
f2_scales_f_fast_forte_a,singing,fast_forte,masculine,446.325820,,,,,,
f2_scales_f_fast_forte_e,singing,fast_forte,masculine,465.680595,,,,,,
f2_scales_f_fast_forte_i,singing,fast_forte,masculine,425.814235,,,,,,
f2_scales_f_fast_forte_o,singing,fast_forte,masculine,455.833475,,,,,,
f2_scales_f_fast_forte_u,singing,fast_forte,masculine,442.332365,,,,,,
f3_arpeggios_c_fast_forte_a,singing,fast_forte,masculine,276.666176,,,,,,
f3_arpeggios_c_fast_forte_e,singing,fast_forte,masculine,271.954486,,,,,,
f3_arpeggios_c_fast_forte_i,singing,fast_forte,masculine,281.396473,,,,,,
f3_arpeggios_c_fast_forte_o,singing,fast_forte,masculine,278.770062,,,,,,
f3_arpeggios_c_fast_forte_u,singing,fast_forte,masculine,284.892840,,,,,,
f3_arpeggios_f_fast_forte_a,singing,fast_forte,masculine,374.540550,,,,,,
f3_arpeggios_f_fast_forte_e,singing,fast_forte,masculine,367.979507,,,,,,
