utt_id,dataset_name,split_name,speaker_id,gender,domain,language,path_raw,path_proc,duration_sec,sample_rate,quality_flag,notes,coarse_style,clean_subset_name,clean_rule_version,selection_cell,selection_note,feature_status,feature_error,rms_dbfs,peak_dbfs,clipping_ratio,silence_ratio_40db,zcr_mean,spectral_centroid_hz_mean,f0_voiced_ratio,f0_median_hz,f0_p10_hz,f0_p90_hz
f1_arpeggios_c_fast_forte_a,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_a.wav,,2.560635,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-24.455545,-7.816306,0.000000,0.153846,0.058592,3459.053014,0.894942,274.452582,242.911044,489.017352
f1_arpeggios_c_fast_forte_e,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_e.wav,,2.420317,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-23.648855,-2.550174,0.000000,0.191388,0.074485,3897.546261,0.917695,278.044864,244.843526,485.036467
f1_arpeggios_c_fast_forte_i,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_i.wav,,2.490476,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-21.285249,-3.191543,0.000000,0.195349,0.072284,4200.635195,0.952000,278.220330,102.502779,492.067001
f1_arpeggios_c_fast_forte_o,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_o.wav,,2.595714,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-21.646605,-5.357389,0.000000,0.156250,0.042788,3026.466600,0.907692,277.774030,243.991957,519.368409
f1_arpeggios_c_fast_forte_u,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_u.wav,,2.736009,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-23.275894,-6.684708,0.000000,0.194915,0.035262,3172.173649,0.905109,274.003942,240.436934,512.529966
f1_arpeggios_f_fast_forte_a,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_a.wav,,2.306009,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-14.143105,0.000000,0.009696,0.180905,0.060557,3480.086490,0.870130,380.238250,331.512272,706.559210
f1_arpeggios_f_fast_forte_e,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_e.wav,,2.265556,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-15.767292,-0.000265,0.000560,0.234694,0.092325,4356.814845,0.876652,377.625825,319.545017,652.638078
f1_arpeggios_f_fast_forte_i,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_i.wav,,2.427370,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-15.036487,0.000000,0.002027,0.252381,0.076702,4560.567582,0.851852,365.235272,196.766325,678.860799
f1_arpeggios_f_fast_forte_o,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_o.wav,,2.265556,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-14.500216,0.000000,0.005485,0.244898,0.050420,3707.772909,0.903084,369.846151,311.864385,677.540925
f1_arpeggios_f_fast_forte_u,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/arpeggios/fast_forte/f1_arpeggios_f_fast_forte_u.wav,,2.144172,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-15.206102,0.000000,0.002898,0.178378,0.044954,3368.588482,0.962791,382.799757,335.527600,665.520819
f1_scales_c_fast_forte_a,VocalSet 1.2,full local extraction,female1,female,singing,mixed / vocalise + excerpt,data/datasets/singing/vocalset/raw/VocalSet1-2/data_by_singer/female1/scales/fast_forte/f1_scales_c_fast_forte_a.wav,,3.724558,44100,ok,canonical tree data_by_singer,fast_forte,clean_singing_v1,v1,female|fast_forte,quality_ok;duration_2_20;VocalSet_canonical;neutral_technique_allowlist;balanced_by_gender_within_technique;round_robin_by_speaker,ok,,-20.749778,-2.542711,0.000000,0.115265,0.058074,3204.322932,0.922252,340.051246,253.363585,554.195659
