utt_id,dataset_name,split_name,speaker_id,gender,domain,language,path_raw,path_proc,duration_sec,sample_rate,quality_flag,notes,clean_subset_name,clean_rule_version,selection_cell,coarse_style,selection_note,feature_status,feature_error,rms_dbfs,peak_dbfs,clipping_ratio,silence_ratio_40db,zcr_mean,spectral_centroid_hz_mean,f0_voiced_ratio,f0_median_hz,f0_p10_hz,f0_p90_hz
121_121726_000004_000003,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000004_000003.wav,,7.800000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.991631,-0.915503,0.000000,0.008197,0.070062,1871.299768,0.800256,168.491139,129.298954,262.213805
121_121726_000005_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000005_000001.wav,,5.840000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-20.610893,-0.915503,0.000000,0.007299,0.073470,2012.025687,0.740171,176.340622,142.154043,234.595961
121_121726_000008_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000008_000002.wav,,2.440000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.657079,-0.915503,0.000000,0.008696,0.106874,2225.084734,0.669388,156.769805,128.051124,213.830746
121_121726_000025_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000025_000000.wav,,2.920000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.063636,-0.915503,0.000000,0.000000,0.109560,2548.236806,0.924915,198.093745,143.732111,308.154192
121_121726_000025_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000025_000001.wav,,6.080000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.710255,-0.915503,0.000000,0.027972,0.052739,1561.430486,0.870279,171.142578,145.462928,202.436613
121_121726_000029_000003,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000029_000003.wav,,3.200000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.015335,-0.915503,0.000000,0.000000,0.040450,1569.273626,0.775701,182.413168,144.590371,258.834633
121_121726_000031_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000031_000001.wav,,2.160000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.318062,-0.915503,0.000000,0.009804,0.109361,2303.645323,0.847926,176.912224,152.647585,223.476824
121_121726_000034_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/121726/121_121726_000034_000001.wav,,6.640000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-19.273574,-0.915503,0.000000,0.000000,0.065605,1780.973188,0.778947,154.033995,128.556233,222.904959
121_127105_000000_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000000_000000.wav,,2.600000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.791489,-0.915503,0.000000,0.016393,0.095579,2107.033008,0.885057,162.520378,135.128039,216.245743
121_127105_000007_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000007_000002.wav,,14.360167,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.113373,-0.310860,0.000000,0.000000,0.072148,1874.404920,0.802366,162.047228,132.883917,222.549296
121_127105_000007_000003,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000007_000003.wav,,5.360000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.927123,-0.915503,0.000000,0.000000,0.113525,2366.946078,0.819367,171.761752,136.530862,243.117455
121_127105_000007_000004,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000007_000004.wav,,7.640000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-16.494686,-0.915503,0.000000,0.000000,0.059608,1687.729577,0.720261,156.064841,132.790855,214.912064
121_127105_000008_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000008_000000.wav,,9.720000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-19.730281,-0.915503,0.000000,0.000000,0.079013,1957.332275,0.810894,162.476864,137.885733,230.779634
121_127105_000008_000001,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000008_000001.wav,,4.960000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.363765,-0.915503,0.000000,0.000000,0.095253,2232.929539,0.804829,164.378346,142.334652,256.031754
121_127105_000008_000002,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000008_000002.wav,,6.760000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.910268,-0.915503,0.000000,0.009464,0.090800,2063.470642,0.753323,171.229647,138.037741,278.414697
121_127105_000009_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000009_000000.wav,,4.840000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-17.678770,-0.915503,0.000000,0.000000,0.096021,2250.818230,0.663918,182.847263,127.249449,260.411054
121_127105_000010_000000,LibriTTS-R,test-clean,121,female,speech,English,data/datasets/speech/libritts_r/raw/LibriTTS_R/test-clean/121/127105/121_127105_000010_000000.wav,,9.480000,24000,ok,,clean_speech_v1,v1,LibriTTS-R|female,neutral_speech,quality_ok;duration_2_20;English;balanced_by_dataset_and_gender;round_robin_by_speaker,ok,,-18.274328,-0.915503,0.000000,0.000000,0.064105,1839.822181,0.737619,160.677893,129.562516,212.854205
